titles,ranks,a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,genre,mp_rating,runtime,year,month
My Dog Tulip,50,"2,519",70,Brian Murray,Christopher Plummer,Isabella Rossellini,"246,574",52,90,"Animation,                        Drama",NR,83,2010,Sep
Cropsey,51,"2,640",61,Donna Cutugno,Karen Schweiger,Joshua Zeman,"42,393",38,90,Documentary,NR,84,2010,Jun
Easy A,52,"128,492",77,Emma Stone,Penn Badgley,Amanda Bynes,"58,401,464",157,85,"Comedy,                        Romance","PG-13 (for mature thematic elements involving teen sexuality, language and some drug material)",92,2010,Sep
Buried,53,"63,844",64,Ryan Reynolds,Ivana Miño,Jose Luis Garcia-Perez,"200,000",132,86,Mystery & Suspense,R (for language and some violent content),95,2010,Sep
The Father of My Children (Le pere de mes enfants),54,"1,286",60,Louis-Do de Lencquesaing,Chiara Caselli,Manelle Driss,,51,89,"Art House & International,                        Drama",NR,112,2010,May
Please Give,55,"11,552",64,Catherine Keener,Amanda Peet,Oliver Platt,"4,033,268",120,86,Comedy,"R (for language, some sexual content and nudity)",90,2010,Apr
Terribly Happy (Frygtelig lykkelig),56,"2,318",73,Jakob Cedergren,Lene Maria Christensen,Kim Bodnia,"44,411",41,89,"Art House & International,                        Drama,                        Mystery & Suspense",PG,102,2010,Feb
Scott Pilgrim vs. the World,57,"140,275",83,Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,"31,494,270",208,82,"Action & Adventure,                        Comedy,                        Romance","PG-13 (for stylized violence, sexual content, language and drug references)",113,2010,Aug
White Material,58,"11,118",64,Isabelle Huppert,Christopher Lambert,Nicolas Duvauchelle,"302,819",73,87,"Art House & International,                        Drama",NR,102,2010,Nov
Get Low,59,"21,791",75,Robert Duvall,Bill Murray,Sissy Spacek,"9,176,469",121,85,"Drama,                        Mystery & Suspense,                        Romance",PG-13 (for some thematic material and brief violent content),103,2010,Jul
The Ghost Writer,60,"60,241",70,Ewan McGregor,Pierce Brosnan,Kim Cattrall,"11,016,593",166,83,"Drama,                        Mystery & Suspense","PG-13 (for language, brief nudity/sexuality, some violence and a drug reference)",68,2010,Feb
The Square,61,"3,625",69,Joel Edgerton,Anthony Hayes,David Roberts,"404,898",74,86,"Action & Adventure,                        Documentary,                        Mystery & Suspense,                        Special Interest",R (for violence and language),106,2010,Apr
Farewell (L'affaire Farewell),62,"5,020",76,Emir Kusturica,Diane Kruger,Guillaume Canet,"309,262",65,86,"Art House & International,                        Drama,                        Mystery & Suspense",NR,112,2010,Jul
Looking for Eric,63,"9,554",77,Steve Evets,Eric Cantona,Stephanie Bishop,"215,173",83,85,"Art House & International,                        Comedy,                        Drama,                        Sports & Fitness",G,116,2010,May
Despicable Me,65,"266,878",82,Steve Carell,Jason Segel,Russell Brand,"251,476,985",157,81,"Animation,                        Comedy,                        Kids & Family",PG (for rude humor and mild action),95,2010,Jul
The Art Of The Steal,66,"1,404",86,Dr. Albert C. Barnes,John Street,Richard H. Glanton,"366,466",52,85,"Documentary,                        Musical & Performing Arts",PG,101,2010,Jul
Kisses,67,"1,414",79,Kelly O'Neill,Shane Curry,Stephen Rea,"81,313",45,85,"Art House & International,                        Drama,                        Romance",NR,82,2010,Jul
Harry Potter and the Deathly Hallows - Part 1,68,"350,501",85,Daniel Radcliffe,Emma Watson,Rupert Grint,"294,980,434",208,78,"Action & Adventure,                        Drama,                        Kids & Family,                        Mystery & Suspense,                        Science Fiction & Fantasy","PG-13 (for some sequences of intense action violence, frightening images and brief sexuality)",146,2010,Nov
Four Lions,69,"23,228",79,Riz Ahmed,Arsher Ali,Nigel Lindsay,"308,769",105,82,"Comedy,                        Drama","R (for language throughout, including some sexual references)",102,2010,Nov
Cyrus,70,"44,552",53,John C. Reilly,Jonah Hill,Marisa Tomei,"7,455,447",124,81,Comedy,R (for language and some sexual material),91,2010,Jun
Mesrine: Public Enemy #1,71,"14,708",82,Michael Duchaussoy,Vincent Cassel,Ludivine Sagnier,,71,83,"Action & Adventure,                        Drama","R (adult situations/language, sex, violence)",133,2010,Sep
North Face (Nordwand),72,"3,555",81,Benno Fürmann,Florian Lukas,Johanna Wokalek,"500,948",46,84,"Action & Adventure,                        Drama",NR,121,2010,Jan
"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)",73,"15,227",83,Song Kang-ho,Lee Byung-hun,Jung Woo-sung,,54,83,"Action & Adventure,                        Art House & International,                        Western",R (for nonstop violence and some drug use),127,2010,Apr
I Am Love,74,"16,177",68,Tilda Swinton,Flavio Parenti,Edoardo Gabbriellini,"5,004,648",102,81,"Art House & International,                        Drama",R (for sexuality and nudity),120,2010,Jun
The Disappearance of Alice Creed,76,"27,646",67,Gemma Arterton,Martin Compston,Eddie Marsan,"166,980",76,82,Mystery & Suspense,"R (for violent content, pervasive language and some sexuality/nudity)",100,2010,Aug
Catfish,77,"25,648",70,Nev Schulman,Angela Wesselman-Pierce,Ariel Schulman,"3,234,373",118,80,"Documentary,                        Drama,                        Special Interest",PG-13 (for some sexual references),86,2010,Jan
Mademoiselle Chambon,78,"2,178",67,Vincent Lindon,Sandrine Kiberlain,Aure Atika,"530,369",43,83,"Art House & International,                        Comedy,                        Drama",NR,101,2010,Jun
Fair Game,79,"28,587",65,Naomi Watts,Sean Penn,Bruce McGill,"9,528,092",136,79,"Action & Adventure,                        Drama,                        Mystery & Suspense",PG-13 (for some language),108,2010,Nov
The Other Guys,80,"160,206",60,Will Ferrell,Mark Wahlberg,Eva Mendes,"119,219,978",156,78,"Action & Adventure,                        Comedy","PG-13 (for crude and sexual content, language, violence and some drug material)",107,2010,Aug
City Island,81,"29,917",79,Andy Garcia,Julianna Margulies,Steven Strait,"6,670,712",81,81,Comedy,"PG-13 (for sexual content, smoking and language)",100,2010,Mar
Made in Dagenham,82,"19,285",75,Sally Hawkins,Bob Hoskins,Miranda Richardson,"1,094,798",101,80,Drama,R (for language and brief sexuality),113,2010,Nov
Cairo Time,83,"4,854",62,Patricia Clarkson,Alexander Siddig,Elena Anaya,"1,500,000",63,81,"Art House & International,                        Drama,                        Romance",PG (for mild thematic elements and smoking),88,2010,Aug
Nowhere Boy,84,"41,167",74,Aaron Taylor-Johnson,Kristin Scott Thomas,Thomas Sangster,"1,445,366",110,79,Drama,R (for language and a scene of sexuality),98,2010,Oct
Disneynature Oceans,85,"98,539",74,Jacques Perrin,Pierce Brosnan,Lancelot Perrin,"19,000,000",62,81,"Documentary,                        Drama",G,103,2010,Apr
Mesrine: Killer Instinct (L'instinct de mort),86,"20,443",84,Vincent Cassel,Cécile De France,Gérard Depardieu,"551,660",56,81,"Action & Adventure,                        Art House & International,                        Drama","R (for strong brutal violence, some sexual content and language)",113,2010,Aug
Solitary Man,87,"14,693",49,Michael Douglas,Susan Sarandon,Danny DeVito,"4,360,548",77,80,"Comedy,                        Drama",R (for language and some sexual content),90,2010,May
Kick-Ass,88,"285,126",81,Aaron Taylor-Johnson,Nicolas Cage,Christopher Mintz-Plasse,"20,000,000",186,75,"Action & Adventure,                        Comedy,                        Drama","R (for strong brutal violence throughout, pervasive language, sexual content, nudity and some drug use -- some involving children)",117,2010,Apr
Mother and Child,89,"6,922",75,Naomi Watts,Annette Bening,Kerry Washington,"1,110,286",97,79,Drama,"R (for sexuality, brief nudity, and language)",126,2010,May
Countdown to Zero,90,"2,486",72,Valerie Plame Wilson,Valerine Plame Wilson,Rolf Mowatt-Larssen,"271,323",70,80,"Documentary,                        Special Interest","PG (for thematic material, images of destruction and incidental smoking)",90,2010,Jul
Tiny Furniture,91,"10,691",54,Lena Dunham,Laurie Simmons,Grace Dunham,"389,334",76,79,Comedy,NR,98,2010,Nov
Iron Man 2,92,"477,974",72,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,"312,057,433",204,73,"Action & Adventure,                        Science Fiction & Fantasy","PG-13 (for sequences of intense sci-fi action and violence, and some language)",124,2010,May
Night Catches Us,93,"1,333",65,Anthony Mackie,Kerry Washington,Jamie Hector,"75,343",44,80,"Drama,                        Romance","R (for language, some sexuality and violence)",90,2010,Dec
Greenberg,94,"36,723",42,Ben Stiller,Rhys Ifans,Greta Gerwig,"2,293,918",124,75,"Comedy,                        Drama","R (for some strong sexuality, drug use, and language)",100,2010,Mar
How I Ended This Summer,95,"1,444",67,Grigoriy Dobrygin,Sergei Puskepalis,Igor Chernevich,,34,79,"Art House & International,                        Drama",NR,124,2010,Jan
Red Hill,96,"4,171",58,Ryan Kwanten,Steve Bisley,Tom E. Lewis,"20,898",51,78,"Action & Adventure,                        Art House & International,                        Drama,                        Mystery & Suspense,                        Western","R (for strong bloody violence, and language)",95,2010,Nov
Splice,97,"251,819",37,Adrien Brody,Sarah Polley,Delphine Chaneac,"16,999,046",138,74,"Horror,                        Science Fiction & Fantasy","R (for disturbing elements including strong sexuality, nudity, sci-fi violence and language)",100,2010,Jun
The Girl on the Train (La Fille du RER),98,"1,865",41,Émilie Dequenne,Catherine Deneuve,Michel Blanc,"207,323",46,78,"Art House & International,                        Drama",G,105,2010,Jan
OSS 117: Rio ne répond plus (Lost in Rio),99,"3,937",63,Jean Dujardin,Louise Monot,Alex Lutz,,39,78,"Action & Adventure,                        Art House & International,                        Comedy,                        Mystery & Suspense",NR,101,2010,May
Nanny McPhee Returns,100,"51,262",55,Emma Thompson,Maggie Gyllenhaal,Rhys Ifans,"28,995,450",89,75,"Comedy,                        Kids & Family,                        Science Fiction & Fantasy","PG (for rude humor, some language and mild thematic elements)",109,2010,Aug
Up,1,"1,202,357",90,Edward Asner,Christopher Plummer,Jordan Nagai,"292,979,556",283,98,"Action & Adventure,                        Animation,                        Comedy,                        Kids & Family",PG (for some peril and action),89,2009,May
The Hurt Locker,2,"95,397",84,Jeremy Renner,Anthony Mackie,Brian Geraghty,"15,700,000",255,97,"Action & Adventure,                        Drama",R (for war violence and language),131,2009,Jun
Star Trek,3,"746,850",91,Chris Pine,Zachary Quinto,Leonard Nimoy,"257,704,099",319,94,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG-13 (for sci-fi action and violence and brief sexual content),127,2009,May
Anvil! The Story of Anvil,4,"9,145",90,"Steve ""Lips"" Kudlow",Slash,Robb Reiner,"492,513",133,98,"Documentary,                        Drama,                        Musical & Performing Arts",NR,90,2009,Oct
Afghan Star,5,"7,880",76,Rafi Nabzaada,Rafi Naabzada,Lima Sahar,,60,100,"Art House & International,                        Documentary,                        Musical & Performing Arts,                        Special Interest,                        Television",NR,87,2009,Mar
An Education,6,"54,732",80,Carey Mulligan,Peter Sarsgaard,Alfred Molina,"12,512,069",175,95,"Art House & International,                        Drama","PG-13 (for mature thematic material involving sexual content, and for smoking)",101,2009,Oct
Drag Me to Hell,7,"846,743",62,Alison Lohman,Justin Long,David Paymer,"42,100,000",237,92,"Horror,                        Mystery & Suspense","PG-13 (for sequences of horror violence, terror, disturbing images and language)",99,2009,May
Fantastic Mr. Fox,8,"151,669",84,George Clooney,Meryl Streep,Jason Schwartzman,"21,000,000",211,93,"Action & Adventure,                        Animation,                        Comedy,                        Kids & Family","PG (for action, smoking and slang humor)",87,2009,Nov
Up in the Air,9,"228,108",79,George Clooney,Vera Farmiga,Anna Kendrick,"83,775,048",251,91,"Comedy,                        Drama,                        Romance",R (for language and some sexual content),109,2009,Dec
District 9,10,"1,177,788",82,Sharlto Copley,David James,Vanessa Haywood,"115,646,235",271,90,"Action & Adventure,                        Art House & International,                        Drama,                        Science Fiction & Fantasy",R (for bloody violence and pervasive language),112,2009,Aug
In the Loop,11,"226,903",81,Tom Hollander,Peter Capaldi,James Gandolfini,"2,251,324",160,94,"Art House & International,                        Comedy",NR,102,2009,Jul
Avaze gonjeshk-ha (The Song of Sparrows),12,"2,181",86,Reza Naji,Maryam Akbari,Schabnam Akhlaghi,,39,98,"Art House & International,                        Drama",PG (for brief mild language),96,2009,Apr
Sweetgrass,13,712,64,John Ahern,Pat Connolly,John Sweet,"207,473",57,97,"Documentary,                        Special Interest,                        Western",NR,105,2009,Aug
Revanche,15,"4,678",82,Johannes Krisch,Irina Potapenko,Ursula Strauss,,79,96,"Art House & International,                        Drama,                        Romance",NR,121,2009,May
Precious: Based on the Novel Push by Sapphire,16,"141,088",81,Gabourey Sidibe,Mo'Nique,Paula Patton,"47,536,959",207,91,Drama,"R (for child abuse including sexual assault, and pervasive language)",110,2009,Nov
Inglourious Basterds,17,"773,814",87,Brad Pitt,Mélanie Laurent,Christoph Waltz,"120,523,073",277,88,"Action & Adventure,                        Drama","R (for strong graphic violence, language and brief sexuality)",153,2009,Aug
"Food, Inc.",18,"74,946",86,Eric Schlosser,Michael Pollan,Gary Hirschberg,"4,238,694",104,95,"Documentary,                        Special Interest",PG (for some thematic material and disturbing images),94,2009,Jun
The Cove,19,"25,687",94,Richard O'Barry,Simon Hutchins,Mandy-Rae Cruickshank,"619,467",120,94,Documentary,PG-13 (for disturbing content),91,2009,Apr
Tulpan,20,"2,887",69,Askhat Kuchinchirekov,Samal Yeslyamova,Samal Esljamova,,67,96,"Art House & International,                        Comedy,                        Drama",G,100,2009,Apr
Zombieland,21,"641,763",86,Woody Harrelson,Jesse Eisenberg,Emma Stone,"75,590,286",216,90,"Comedy,                        Horror",R (for horror violence/gore and language),88,2009,Oct
Crazy Heart,22,"124,704",76,Jeff Bridges,Maggie Gyllenhaal,Beth Grant,"38,349,555",185,91,"Drama,                        Musical & Performing Arts,                        Romance",R (for language and brief sexuality),112,2009,Dec
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,23,"1,077",89,Daniel Ellsberg,Patricia Marx Ellsberg,Richard Falk,"453,483",53,96,Documentary,NR,93,2009,Jun
Somers Town,25,"19,151",75,Perry Benson,Thomas Turgoose,Piotr Jagiello,,51,96,"Art House & International,                        Comedy,                        Drama",NR,75,2009,Jul
Goodbye Solo,26,"4,919",81,Red West,Souleymane Sy Savane,Carmen Levya,"809,220",99,94,"Comedy,                        Drama",R (for language),91,2009,Mar
A Serious Man,27,"62,774",67,Michael Stuhlbarg,Richard Kind,Fred Melamed,"9,190,525",192,90,"Comedy,                        Drama","R (for language, some sexuality/nudity and brief violence)",106,2009,Oct
Crude,28,"1,476",85,Pablo Fajardo,Luis Yanza,Germán Yáñez,"170,295",61,95,"Documentary,                        Special Interest",NR,100,2009,Feb
Mary and Max,29,"24,921",92,Toni Collette,Philip Seymour Hoffman,Barry Humphries,,60,95,"Animation,                        Comedy,                        Drama",G,92,2009,Jan
Tokyo Sonata (Tokyo Sonata),31,"12,323",79,Teruyuki Kagawa,Kyôko Koizumi,Yu Koyanagi,"103,045",79,94,"Art House & International,                        Drama",PG-13 (for thematic elements and brief strong language),121,2009,Mar
L'Heure d'été (Summer Hours),32,"19,158",69,Charles Berling,Juliette Binoche,Jérémie Renier,"1,566,427",98,93,"Art House & International,                        Drama,                        Kids & Family",NR,102,2009,May
Ponyo,33,"97,057",83,Noah Cyrus,Yuria Nara,Cate Blanchett,"15,100,000",149,91,"Action & Adventure,                        Animation,                        Art House & International,                        Kids & Family,                        Science Fiction & Fantasy",G,101,2009,Aug
The Damned United,34,"56,613",85,Michael Sheen,Timothy Spall,Colm Meaney,"315,306",121,92,"Drama,                        Sports & Fitness",R (for language),97,2009,Oct
Katyn,35,"5,402",75,Artur ?mijewski,Maja Ostaszewska,Artur Zmijewski,,61,94,"Art House & International,                        Drama",NR,121,2009,Feb
Moon,37,"100,035",89,Sam Rockwell,Dominique McElligott,Matt Berry,"4,785,434",169,89,"Mystery & Suspense,                        Science Fiction & Fantasy",R (for language),97,2009,Jun
"Yoo-hoo, Mrs. Goldberg",38,"2,382",78,Norman Lear,Viola Harris,Gary David Goldberg,"722,545",64,93,"Documentary,                        Television",G,90,2009,Jul
La Nana (The Maid),39,"3,270",81,Catalina Saavedra,Claudia Celedón,Andrea García-Huidobro,"500,000",63,93,"Art House & International,                        Drama",NC17,117,2009,Oct
Etz Limon (Lemon Tree),40,"5,090",83,Hiam Abbass,Ali Suliman,Rona Lipaz-Michael,"467,072",63,93,"Art House & International,                        Drama,                        Romance",PG,106,2009,Apr
Adventureland,41,"252,686",61,Jesse Eisenberg,Kristen Stewart,Sue O'Malley,"15,900,000",188,88,"Comedy,                        Drama","R (for language, drug use and sexual references)",106,2009,Apr
Every Little Step,42,"3,032",87,Baayork Lee,Donna McKechnie,Charlotte D'Amboise,"1,528,106",88,92,"Documentary,                        Drama,                        Musical & Performing Arts",PG-13 (for some strong language sexual references),93,2009,Oct
The Messenger,43,"21,554",75,Ben Foster,Woody Harrelson,Samantha Morton,"1,006,655",141,89,"Drama,                        Romance",R (for language and some sexual content/nudity),113,2009,Nov
Hunger,44,"74,136",83,Michael Fassbender,Liam Cunningham,Stuart Graham,,112,90,"Art House & International,                        Drama,                        Special Interest",R,92,2009,Mar
Red Cliff (Chi Bi),45,"22,539",78,Tony Leung Chiu Wai,Takeshi Kaneshiro,Fengyi Zhang,"526,841",103,90,"Action & Adventure,                        Art House & International,                        Classics,                        Drama",R (for sequences of epic warfare),148,2009,Nov
Il Divo,46,"4,411",80,Toni Servillo,Anna Bonaiuto,Giulio Bosetti,"200,000",44,92,"Art House & International,                        Drama",NR,117,2009,Apr
Maria Larssons eviga ögonblick (Everlasting Moments) (Maria Larsson's Everlasting Moment),47,"4,358",83,Maria Heiskanen,Jesper Christensen,Mikael Persbrandt,"1,500,000",92,90,"Art House & International,                        Drama",PG,125,2009,Mar
Avatar,48,"1,381,284",82,Zoe Saldana,Sam Worthington,Sigourney Weaver,"749,700,000",248,83,"Action & Adventure,                        Comedy,                        Mystery & Suspense,                        Science Fiction & Fantasy","PG-13 (for intense epic battle sequences and warfare, sensuality, language and some smoking)",162,2009,Dec
Harry Potter and the Half-Blood Prince,49,"1,558,156",77,Daniel Radcliffe,Emma Watson,Rupert Grint,"301,920,409",226,84,"Action & Adventure,                        Drama,                        Kids & Family,                        Mystery & Suspense,                        Science Fiction & Fantasy","PG (for scary images, some violence, language and mild sensuality)",154,2009,Jul
World's Greatest Dad,50,"51,737",67,Robin Williams,Daryl Sabara,Alexie Gilmore,"166,467",103,89,"Comedy,                        Drama","R (for language, crude sexual content, some drug use and disturbing images)",99,2009,Aug
500 Days of Summer,51,"396,398",84,Joseph Gordon-Levitt,Zooey Deschanel,Geoffrey Arend,"32,118,648",188,85,"Comedy,                        Drama,                        Romance",PG-13 (for sexual material and language),95,2009,Jul
The Girl with the Dragon Tattoo,52,"118,360",86,Daniel Craig,Rooney Mara,Christopher Plummer,"102,515,793",200,86,"Drama,                        Mystery & Suspense","R (for brutal violent content including rape and torture, strong sexuality, graphic nudity, and language)",157,2011,Dec
The Girl with the Dragon Tattoo,52,"50,801",87,Michael Nyqvist,Noomi Rapace,Lena Endre,"10,100,000",156,86,"Art House & International,                        Drama,                        Mystery & Suspense","R (for disturbing violent content including rape, grisly images, sexual material, nudity and language)",154,2009,Feb
Séraphine,53,"15,360",80,Yolande Moreau,Ulrich Tukur,Anne Bennent,"557,682",83,89,"Art House & International,                        Drama",PG,121,2009,Jun
Sin Nombre,54,"21,211",88,Paulina Gaitan,Edgar Flores,Kristyan Ferrer,"2,436,392",104,88,"Drama,                        Mystery & Suspense","R (for violence, language and sexual content)",96,2009,Mar
Cloudy With a Chance of Meatballs,55,"487,818",71,Bill Hader,Anna Faris,James Caan,"124,870,275",122,87,"Animation,                        Comedy,                        Kids & Family",PG (for brief mild language),81,2009,Sep
The Princess and the Frog,56,"260,678",74,Anika Noni Rose,Bruno Campos,Keith David,"104,374,107",162,85,"Animation,                        Comedy,                        Kids & Family,                        Musical & Performing Arts,                        Science Fiction & Fantasy,                        Romance",G,95,2009,Dec
A Single Man,57,"58,061",81,Colin Firth,Julianne Moore,Matthew Goode,"9,098,668",155,85,Drama,R (for some disturbing images and nudity/sexual content),101,2009,Dec
Me and Orson Welles,58,"17,864",61,Zac Efron,Claire Danes,Christian McKay,"1,070,524",131,86,"Art House & International,                        Comedy,                        Drama",PG-13 (for sexual references and smoking),119,2009,Nov
State of Play,59,"124,141",73,Russell Crowe,Ben Affleck,Rachel McAdams,"36,965,395",176,84,"Drama,                        Mystery & Suspense","PG-13 (for some violence, language including sexual references, and brief drug content)",127,2009,Apr
Bad Lieutenant: Port of Call New Orleans,60,"53,734",57,Nicolas Cage,Eva Mendes,Val Kilmer,"1,616,556",121,86,"Drama,                        Mystery & Suspense","R (for drug use and language throughout, some violence and sexuality)",121,2009,Nov
Whip It,61,"113,927",74,Ellen Page,Drew Barrymore,Juliette Lewis,"13,000,000",152,84,"Comedy,                        Drama","PG-13 (for sexual content including crude dialogue, language and drug material)",111,2009,Oct
Pranzo di Ferragosto (Mid-August Lunch),62,"3,951",69,Gianni Di Gregorio,Gianni Di Venanzo,Grazia Cesarini Sforza,"600,000",56,88,"Art House & International,                        Comedy,                        Drama",G,75,2009,Apr
"I Love You, Man",63,"1,551,086",74,Paul Rudd,Jason Segel,Rashida Jones,"71,300,000",170,83,"Comedy,                        Drama","R (for pervasive language, including crude and sexual references)",105,2009,Mar
The White Ribbon (Das weisse Band),64,"89,917",78,Christian Friedel,Ulrich Tukur,Leonie Benesch,"2,077,054",121,85,"Art House & International,                        Drama",R (for some disturbing content involving violence and sexuality),144,2009,Dec
Tyson,65,"6,976",79,Mike Tyson,Mills Lane,Trevor Berbick,"825,450",120,85,"Documentary,                        Sports & Fitness",R (for language including sexual references),90,2009,Aug
Paranormal Activity,66,"273,652",56,Katie Featherston,Micah Sloat,Mark Fredrichs,"107,901,736",160,83,"Horror,                        Mystery & Suspense",R (for language),86,2009,Sep
Amreeka,67,"3,194",75,Nisreen Faour,Melkar Muallem,Hiam Abbass,"417,889",62,87,Drama,"PG-13 (for brief drug use involving teens, and some language)",96,2009,Sep
The House of the Devil,68,"55,568",63,Jocelin Donahue,Greta Gerwig,Mary Woronov,,82,86,Horror,R (for some bloody violence),93,2009,Oct
Disneynature Earth,69,"110,118",82,James Earl Jones,Patrick Stewart,George Fenton,"31,959,266",80,86,Documentary,G,99,2009,Apr
Treeless Mountain,70,"1,704",72,Hee Yeon Kim,Kim Song Hee,Lee Soo Ah,,53,87,"Art House & International,                        Drama",PG,89,2009,Apr
Big Fan,71,"33,729",62,Patton Oswalt,Kevin Corrigan,Marcia Jean Kurtz,"105,339",75,86,"Comedy,                        Drama",R (for language and some sexuality),85,2009,Aug
La Danse -- Le Ballet de l'Opera de Paris,72,654,73,Wayne McGregor,Aurelie Dupont,Benjamin Pech,"500,000",45,87,"Documentary,                        Musical & Performing Arts",NR,159,2009,Jul
Bright Star,73,"11,325",68,Ben Whishaw,Abbie Cornish,Paul Schneider,"4,341,275",137,83,"Drama,                        Romance","PG (for thematic elements, some sensuality, brief language and incidental smoking)",119,2009,May
Skin,74,"2,104",79,Sophie Okonedo,Alice Krige,Sam Neill,,54,86,"Art House & International,                        Drama,                        Mystery & Suspense",PG-13 (for thematic material some violence and sexuality),107,2009,Oct
Gran Torino,75,"331,735",90,Clint Eastwood,Bee Vang,Ahney Her,"148,055,047",183,80,Drama,"R (for language throughout, and some violence)",130,2009,Jan
The Hangover,77,"942,502",84,Bradley Cooper,Ed Helms,Zach Galifianakis,"277,313,371",183,79,Comedy,"R (for pervasive language, sexual content including nudity, and some drug material)",100,2009,Jun
The September Issue,78,"49,574",71,Anna Wintour,Grace Coddington,Andre Leon Talley,"3,670,036",93,83,"Documentary,                        Special Interest",PG-13 (for brief strong language),90,2009,Feb
The Informant!,79,"359,208",43,Matt Damon,Scott Bakula,Joel McHale,"33,278,731",175,79,"Comedy,                        Drama,                        Mystery & Suspense",R (for language),108,2009,Sep
Soul Power,80,"3,131",79,James Brown (II),Miriam Makeba,Bill Withers,"200,000",62,84,"Documentary,                        Musical & Performing Arts",PG-13 (for some thematic elements and brief strong language),93,2009,Jan
Broken Embraces,81,"20,483",75,Penelope Cruz,Blanca Portillo,José Luis Gómez,"4,900,000",123,81,"Art House & International,                        Comedy,                        Drama,                        Mystery & Suspense","R (for sexual content, language and some drug material)",128,2009,Nov
Pontypool,82,"7,421",68,Stephen McHattie,Lisa Houle,Georgina Reilly,,70,83,"Art House & International,                        Horror",PG,95,2009,May
Bakjwi (Thirst),83,"19,324",75,Ok-bin Kim,Shin Ha-Gyun,Kim Hae-suk,"296,441",91,82,"Art House & International,                        Drama,                        Horror","R (for graphic bloody violence, disturbing images, strong sexual content, nudity and language)",133,2009,Apr
Black Dynamite,84,"15,501",85,Michael Jai White,Obba Babatundé,Kevin Chapman,"131,862",52,83,"Action & Adventure,                        Comedy","R (for sexuality/nudity, language, some violence and drug content)",84,2009,Oct
No Impact Man: The Documentary,85,"2,251",62,Colin Beavan,Michelle Conlin,Isabella Beavan,,40,83,"Documentary,                        Special Interest",NR,92,2009,Jan
Humpday,86,"18,735",51,Mark Duplass,Joshua Leonard,Alycia Delmore,"254,272",108,80,"Comedy,                        Drama","R (for some strong sexual content, pervasive language and a scene of drug use)",94,2009,Jul
Bandslam,88,"107,620",64,Alyson Michalka,Gaelan Connell,Scott Porter,"5,205,343",80,81,"Comedy,                        Drama,                        Musical & Performing Arts",PG (for some thematic elements and mild language),111,2009,Aug
Invictus,89,"211,815",74,Morgan Freeman,Matt Damon,Tony Kgoroge,"37,431,431",180,76,"Drama,                        Sports & Fitness",PG-13 (for brief strong language),134,2009,Dec
Julie & Julia,90,"363,276",70,Meryl Streep,Amy Adams,Chris Messina,"94,125,426",164,76,"Comedy,                        Drama",PG-13 (for brief strong language and some sensuality),123,2009,Aug
A Town Called Panic (Panique au village),91,"4,220",85,Stéphane Aubier,Jeanne Balibar,Nicolas Buysse,"165,349",57,81,"Action & Adventure,                        Animation,                        Art House & International,                        Kids & Family",NR,76,2009,Dec
It Might Get Loud,92,"18,209",85,Jack White,Robert Plant,Jimmy Page,"1,234,300",89,79,"Documentary,                        Musical & Performing Arts","PG (for mild thematic elements, brief language and smoking)",98,2009,Dec
Okuribito (Departures),93,"51,879",92,Masahiro Motoki,Ryoko Hirosue,Tsutomu Yamazaki,"1,500,000",84,79,"Art House & International,                        Drama",PG-13 (for thematic material),131,2009,May
We Live in Public,94,"13,300",79,Joshua M. Harris,Jason Calacanis,Jason McCabe Calacanis,,38,81,"Documentary,                        Special Interest",NR,89,2009,Aug
Triangle,95,"25,172",66,Melissa George,Michael Dorman,Rachael Carpani,,32,80,Mystery & Suspense,R (for violence and language),99,2009,Oct
The Road,96,"248,204",68,Viggo Mortensen,Kodi Smit-McPhee,Charlize Theron,"8,025,059",154,74,"Drama,                        Mystery & Suspense,                        Science Fiction & Fantasy","R (for some violence, disturbing images and language)",111,2009,Nov
Capitalism: A Love Story,97,"70,693",73,Thora Birch,William Black,Jimmy Carter,"14,342,792",135,75,"Documentary,                        Special Interest",R (for some language),120,2009,Sep
The Young Victoria,98,"164,626",74,Emily Blunt,Rupert Friend,Paul Bettany,"10,900,000",114,76,Drama,"PG (for some mild sensuality, a scene of violence, and brief incidental language and smoking)",105,2009,Dec
Where the Wild Things Are,99,"298,692",56,Max Records,Catherine Keener,Benicio Del Toro,"77,222,184",187,72,"Action & Adventure,                        Animation,                        Comedy,                        Drama,                        Kids & Family,                        Science Fiction & Fantasy","PG (for mild thematic elements, some adventure action and brief language)",101,2009,Oct
The End of the Line,100,"3,758",81,Charles Clover,Callum Roberts,Jeffrey Hutchings,,37,79,"Documentary,                        Special Interest",NR,90,2009,Feb
The Dark Knight,1,"1,828,825",94,Christian Bale,Heath Ledger,Aaron Eckhart,"533,316,061",306,94,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG-13 (for intense sequences of violence and some menace),152,2008,Jul
The Wrestler,2,"140,085",88,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,"26,136,413",219,98,Drama,R (for violence),109,2008,Sep
